Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8070110900K,Intel,Core i9-10900K,1,102,35375,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX80684I99900KS,Intel,Core i9-9900KS,2,102,10023,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,3,101,20065,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,BX8070110850K,Intel,Core i9-10850K,4,101,20880,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,5,101,8169,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,BX8070110900KF,Intel,Core i9-10900KF,6,101,6048,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,7,99.3,35398,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085
CPU,BX8070110700K,Intel,Core i7-10700K,8,98.8,80239,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070
CPU,BX8070110700KF,Intel,Core i7-10700KF,9,98.3,7108,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz
CPU,BX80684I79700K,Intel,Core i7-9700K,10,98.1,343026,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX80684I99900KF,Intel,Core i9-9900KF,11,97.9,13500,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,BX80684I79700KF,Intel,Core i7-9700KF,12,97.8,19088,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,BX8070110900F,Intel,Core i9-10900F,13,97.7,1912,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz
CPU,BX80684I99900K,Intel,Core i9-9900K,14,97.7,321928,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,,Intel,Core i9-10900,15,97.7,3788,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz
CPU,100-100000065BOX,AMD,Ryzen 5 5600X,16,96.9,56717,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084
CPU,BX8070110600KF,Intel,Core i5-10600KF,17,96.4,3694,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz
CPU,BX8070110600K,Intel,Core i5-10600K,18,96.3,21673,https://cpu.userbenchmark.com/Intel-Core-i5-10600K/Rating/4072
CPU,BX80684I78086K,Intel,Core i7-8086K,19,95.6,29615,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,BX8070110700,Intel,Core i7-10700,20,95.3,20831,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077
CPU,BX8070110700F,Intel,Core i7-10700F,21,95.1,8515,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR-CoreTM-i7-10700F-CPU---290GHz
CPU,BX80684I59600KF,Intel,Core i5-9600KF,22,95,43667,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,BX80684I59600K,Intel,Core i5-9600K,23,94.3,266041,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX8070110600,Intel,Core i5-10600,24,94.1,2941,https://cpu.userbenchmark.com/Intel-Core-i5-10600/Rating/4069
CPU,BX80684I99900,Intel,Core i9-9900,25,93.9,6127,https://cpu.userbenchmark.com/SpeedTest/816115/IntelR-CoreTM-i9-9900-CPU---310GHz
CPU,BX80684I79700,Intel,Core i7-9700,26,93.9,46251,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz
CPU,,AMD,Ryzen 9 5900HS,27,93.5,264,https://cpu.userbenchmark.com/SpeedTest/1452199/AMD-Ryzen-9-5900HS-with-Radeon-Graphics
CPU,BX80684I79700F,Intel,Core i7-9700F,28,93.4,27897,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz
CPU,BX80684I78700K,Intel,Core i7-8700K,29,93.1,602325,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,BX80684I58600K,Intel,Core i5-8600K,30,92.8,198478,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
CPU,BX80684I59600,Intel,Core i5-9600,31,92.7,515,https://cpu.userbenchmark.com/SpeedTest/853186/IntelR-CoreTM-i5-9600-CPU---310GHz
CPU,,AMD,Ryzen 9 5900HX,32,92.1,219,https://cpu.userbenchmark.com/SpeedTest/1449683/AMD-Ryzen-9-5900HX-with-Radeon-Graphics
CPU,BX8070110500,Intel,Core i5-10500,33,91.9,2655,https://cpu.userbenchmark.com/Intel-Core-i5-10500/Rating/4078
CPU,BX80684I78700,Intel,Core i7-8700,34,90.1,230045,https://cpu.userbenchmark.com/Intel-Core-i7-8700/Rating/3940
